epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1206.57,0.87221,0.45203,0.98721,0.97961,0.96093,0.98069,0.74951,0.9581,0.44532,0.99872,0.0005546,0.0005546,0.0005546
75,1222.35,0.85759,0.44885,0.97242,0.96876,0.93467,0.96715,0.73281,1.03607,0.43948,1.02005,0.0005348,0.0005348,0.0005348
76,1238.09,0.857,0.44069,0.98736,0.98676,0.952,0.98271,0.75014,0.95637,0.43229,0.99578,0.000515,0.000515,0.000515
77,1253.97,0.83589,0.43917,0.97626,0.97817,0.95601,0.97919,0.75075,0.96205,0.43951,1.00338,0.0004952,0.0004952,0.0004952
78,1269.58,0.87755,0.45515,0.98623,0.9829,0.96,0.97963,0.76601,0.94148,0.42022,0.99278,0.0004754,0.0004754,0.0004754
79,1285.3,0.85056,0.44076,0.97404,0.97818,0.964,0.98441,0.75943,0.96233,0.42854,0.99189,0.0004556,0.0004556,0.0004556
80,1300.98,0.87958,0.45018,0.98472,0.97833,0.96293,0.98272,0.77396,0.91219,0.4122,0.97826,0.0004358,0.0004358,0.0004358
81,1316.91,0.83068,0.43393,0.96455,0.9814,0.95467,0.98436,0.77358,0.93373,0.42712,0.97775,0.000416,0.000416,0.000416
82,1332.6,0.85543,0.44115,0.98639,0.98097,0.96231,0.98424,0.75522,0.97469,0.42531,0.99543,0.0003962,0.0003962,0.0003962
83,1348.4,0.83526,0.42756,0.98264,0.97913,0.96,0.98237,0.77023,0.92358,0.41407,0.9818,0.0003764,0.0003764,0.0003764
84,1364.37,0.81757,0.42346,0.97695,0.98063,0.96,0.98424,0.76945,0.92673,0.41428,0.98354,0.0003566,0.0003566,0.0003566
85,1380.35,0.81271,0.42348,0.96709,0.97557,0.95825,0.98182,0.76752,0.9367,0.41651,0.98523,0.0003368,0.0003368,0.0003368
86,1396.06,0.85509,0.43978,0.97961,0.98225,0.96533,0.98546,0.77912,0.91241,0.41011,0.97957,0.000317,0.000317,0.000317
87,1411.72,0.83868,0.43073,0.96839,0.98365,0.96248,0.98553,0.77427,0.91673,0.40696,0.97969,0.0002972,0.0002972,0.0002972
88,1427.35,0.79126,0.41548,0.96116,0.985,0.96287,0.98662,0.78224,0.90498,0.40631,0.97567,0.0002774,0.0002774,0.0002774
89,1443.17,0.79626,0.41943,0.96182,0.98346,0.96267,0.98576,0.77908,0.90918,0.40233,0.97754,0.0002576,0.0002576,0.0002576
90,1459.25,0.80855,0.4205,0.97057,0.97964,0.96216,0.98566,0.77125,0.92793,0.41235,0.9833,0.0002378,0.0002378,0.0002378
91,1473.1,0.77168,0.39041,0.96115,0.98339,0.96267,0.98449,0.76837,0.93098,0.41919,0.98373,0.000218,0.000218,0.000218
92,1486.74,0.76575,0.39397,0.95542,0.98228,0.9608,0.98479,0.77402,0.91314,0.41957,0.97841,0.0001982,0.0001982,0.0001982
93,1500.34,0.73337,0.38548,0.93951,0.97966,0.96353,0.98445,0.77603,0.90914,0.41694,0.9791,0.0001784,0.0001784,0.0001784
94,1513.9,0.76995,0.39268,0.95226,0.97703,0.96414,0.98459,0.78294,0.89514,0.40959,0.97556,0.0001586,0.0001586,0.0001586
95,1527.7,0.74814,0.37977,0.95265,0.9836,0.95987,0.98457,0.77516,0.91865,0.42243,0.98223,0.0001388,0.0001388,0.0001388
96,1541.32,0.73821,0.38192,0.94582,0.98194,0.96267,0.9843,0.77843,0.91274,0.4189,0.98079,0.000119,0.000119,0.000119
97,1555.1,0.70751,0.36276,0.9346,0.98106,0.96705,0.98416,0.77717,0.90956,0.41273,0.97615,9.92e-05,9.92e-05,9.92e-05
98,1568.81,0.72826,0.3768,0.93894,0.97974,0.96724,0.98615,0.78343,0.88871,0.40377,0.97193,7.94e-05,7.94e-05,7.94e-05
99,1582.35,0.72576,0.37206,0.9413,0.98207,0.96667,0.98626,0.78087,0.90211,0.404,0.97405,5.96e-05,5.96e-05,5.96e-05
100,1596.04,0.71568,0.36661,0.93898,0.98029,0.96667,0.98595,0.77982,0.89517,0.40513,0.97123,3.98e-05,3.98e-05,3.98e-05
