epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.7178,1.38637,1.92077,1.23746,0.92434,0.42353,0.80948,0.50001,1.27192,2.33692,1.08942,0.000648649,0.000648649,0.000648649
2,31.0054,1.35668,1.16094,1.20186,0.92057,0.77262,0.87462,0.48368,1.44707,2.03167,1.2322,0.00130229,0.00130229,0.00130229
3,50.4153,1.40632,1.16108,1.2199,0.69733,0.576,0.66817,0.37821,1.48104,2.48071,1.33118,0.00194274,0.00194274,0.00194274
4,88.5821,1.40398,1.03749,1.22852,0.8799,0.86933,0.90144,0.51895,1.47608,1.66815,1.26954,0.0019406,0.0019406,0.0019406
5,104.811,1.39703,1.0021,1.23347,0.8728,0.848,0.87972,0.49461,1.44288,1.61079,1.26017,0.0019208,0.0019208,0.0019208
6,121.188,1.29986,0.92491,1.17501,0.85709,0.86667,0.86791,0.53636,1.30285,1.65868,1.20798,0.001901,0.001901,0.001901
7,137.108,1.31838,0.92178,1.17597,0.87306,0.90785,0.8773,0.53482,1.23519,1.31112,1.17471,0.0018812,0.0018812,0.0018812
8,152.899,1.30412,0.84784,1.16831,0.95735,0.92782,0.95289,0.57811,1.33879,1.05359,1.19775,0.0018614,0.0018614,0.0018614
9,168.787,1.25708,0.82001,1.14841,0.93946,0.91733,0.93772,0.59867,1.22995,0.86492,1.13467,0.0018416,0.0018416,0.0018416
10,184.653,1.21977,0.76689,1.14297,0.96268,0.932,0.95665,0.612,1.20193,0.92212,1.13667,0.0018218,0.0018218,0.0018218
11,200.506,1.24687,0.77466,1.15299,0.96958,0.94267,0.95844,0.62191,1.23718,0.77407,1.12716,0.001802,0.001802,0.001802
12,216.563,1.18809,0.75436,1.12304,0.95443,0.93467,0.93606,0.59866,1.28113,0.78584,1.1555,0.0017822,0.0017822,0.0017822
13,232.987,1.18038,0.73309,1.12299,0.93356,0.92533,0.95097,0.63323,1.20817,0.75955,1.13402,0.0017624,0.0017624,0.0017624
14,249.783,1.25825,0.73854,1.14576,0.97097,0.94533,0.96318,0.63509,1.25101,0.74108,1.1501,0.0017426,0.0017426,0.0017426
15,265.592,1.15902,0.68672,1.13227,0.9735,0.952,0.96763,0.60358,1.20795,0.71501,1.12019,0.0017228,0.0017228,0.0017228
16,281.326,1.21095,0.69893,1.12227,0.96228,0.94267,0.95433,0.63881,1.17209,0.77478,1.13328,0.001703,0.001703,0.001703
17,297.167,1.13334,0.65779,1.10833,0.95535,0.93467,0.94615,0.64249,1.1562,0.69814,1.09536,0.0016832,0.0016832,0.0016832
18,312.898,1.16316,0.67356,1.13279,0.9741,0.936,0.95488,0.64551,1.1359,0.6381,1.09117,0.0016634,0.0016634,0.0016634
19,328.722,1.13814,0.65671,1.10263,0.97534,0.94935,0.957,0.6282,1.11154,0.6603,1.09374,0.0016436,0.0016436,0.0016436
20,344.425,1.15434,0.65154,1.10799,0.96642,0.944,0.95875,0.64752,1.09303,0.59847,1.07534,0.0016238,0.0016238,0.0016238
21,360.199,1.16057,0.64398,1.1151,0.96551,0.93321,0.96136,0.64918,1.22313,0.64741,1.1142,0.001604,0.001604,0.001604
22,376.062,1.1166,0.63858,1.08561,0.96538,0.94133,0.9622,0.6747,1.12652,0.61276,1.0813,0.0015842,0.0015842,0.0015842
23,391.767,1.10025,0.61544,1.08522,0.96719,0.94326,0.9667,0.66812,1.11317,0.60446,1.08055,0.0015644,0.0015644,0.0015644
24,407.554,1.12608,0.62923,1.09022,0.97111,0.94667,0.96489,0.65442,1.18562,0.62088,1.09652,0.0015446,0.0015446,0.0015446
25,423.26,1.11858,0.61978,1.08438,0.97267,0.936,0.96014,0.66715,1.13039,0.57578,1.07097,0.0015248,0.0015248,0.0015248
26,438.968,1.11212,0.61297,1.08174,0.96572,0.93915,0.96525,0.65338,1.15126,0.64782,1.08497,0.001505,0.001505,0.001505
27,454.629,1.0745,0.5881,1.0698,0.97469,0.95067,0.96773,0.67841,1.11424,0.56263,1.06782,0.0014852,0.0014852,0.0014852
28,470.607,1.07633,0.58669,1.06978,0.96469,0.94713,0.96127,0.66466,1.15496,0.59454,1.09781,0.0014654,0.0014654,0.0014654
29,486.749,1.11599,0.60247,1.08741,0.97768,0.948,0.97112,0.69129,1.08504,0.55099,1.06196,0.0014456,0.0014456,0.0014456
30,503.47,1.05313,0.57329,1.06667,0.96583,0.944,0.96609,0.68438,1.0755,0.54479,1.04861,0.0014258,0.0014258,0.0014258
31,519.763,1.03727,0.55957,1.05614,0.96712,0.95067,0.96851,0.65794,1.18642,0.61834,1.09975,0.001406,0.001406,0.001406
32,535.704,1.04715,0.56993,1.05331,0.95517,0.94533,0.95558,0.66389,1.12479,0.55945,1.07318,0.0013862,0.0013862,0.0013862
33,551.364,1.03078,0.56572,1.04747,0.97314,0.94533,0.9671,0.69715,1.07682,0.54059,1.07241,0.0013664,0.0013664,0.0013664
34,567.328,1.05679,0.56724,1.06185,0.97281,0.94933,0.97298,0.69286,1.08417,0.5427,1.05668,0.0013466,0.0013466,0.0013466
35,584.088,1.05693,0.56344,1.0657,0.96859,0.94554,0.97146,0.68679,1.05957,0.54215,1.04587,0.0013268,0.0013268,0.0013268
36,599.932,1.0382,0.55333,1.04569,0.97763,0.94933,0.96928,0.70024,1.03909,0.53015,1.05502,0.001307,0.001307,0.001307
37,616.595,1.05364,0.56207,1.05182,0.962,0.94508,0.96655,0.69878,1.09103,0.52779,1.05616,0.0012872,0.0012872,0.0012872
38,632.9,0.99713,0.54271,1.04057,0.97122,0.94503,0.96734,0.68017,1.08841,0.54701,1.05746,0.0012674,0.0012674,0.0012674
39,649.043,1.02461,0.54869,1.04003,0.97309,0.94667,0.97148,0.69864,1.07354,0.52011,1.05001,0.0012476,0.0012476,0.0012476
40,665.074,1.05,0.54057,1.05082,0.97507,0.95333,0.97738,0.7083,1.06844,0.51112,1.05539,0.0012278,0.0012278,0.0012278
41,680.676,1.04064,0.54815,1.05343,0.97276,0.948,0.97277,0.7023,1.09763,0.53384,1.05551,0.001208,0.001208,0.001208
42,696.354,1.04298,0.55191,1.04177,0.97796,0.94673,0.96975,0.68475,1.08522,0.53145,1.05038,0.0011882,0.0011882,0.0011882
43,712.143,1.03493,0.54628,1.04636,0.966,0.94933,0.9649,0.67483,1.07812,0.66498,1.06547,0.0011684,0.0011684,0.0011684
44,728.044,1.02199,0.54857,1.03477,0.97408,0.95215,0.97037,0.66387,1.0797,0.60411,1.06374,0.0011486,0.0011486,0.0011486
45,743.777,1.03695,0.53962,1.05238,0.97436,0.952,0.97624,0.71991,1.04584,0.50618,1.04124,0.0011288,0.0011288,0.0011288
46,759.642,0.99825,0.5297,1.03972,0.97674,0.95182,0.9752,0.72285,1.01765,0.51857,1.0345,0.001109,0.001109,0.001109
47,775.375,0.98641,0.52988,1.02242,0.97669,0.94982,0.97533,0.72226,1.01178,0.50218,1.03188,0.0010892,0.0010892,0.0010892
48,791.265,0.98104,0.5181,1.03735,0.96157,0.93416,0.95372,0.68511,1.08747,0.52617,1.05195,0.0010694,0.0010694,0.0010694
49,807.033,1.00365,0.52283,1.03472,0.97967,0.9639,0.97951,0.70319,1.0644,0.48602,1.0333,0.0010496,0.0010496,0.0010496
50,822.834,0.97552,0.50687,1.0387,0.97114,0.948,0.96933,0.705,1.02858,0.49846,1.03387,0.0010298,0.0010298,0.0010298
51,838.538,0.99002,0.51677,1.04282,0.97811,0.95336,0.97683,0.71312,1.05376,0.51193,1.04328,0.00101,0.00101,0.00101
52,854.408,0.99214,0.5105,1.04315,0.97511,0.96,0.97548,0.70473,1.06647,0.48926,1.03955,0.0009902,0.0009902,0.0009902
53,870.011,0.91536,0.49087,1.0069,0.97425,0.95333,0.97416,0.7151,1.04853,0.48443,1.04326,0.0009704,0.0009704,0.0009704
54,885.717,0.94949,0.49396,1.01813,0.97959,0.95986,0.97753,0.72179,1.02751,0.47999,1.0274,0.0009506,0.0009506,0.0009506
55,901.511,0.95404,0.49667,1.02895,0.97798,0.9476,0.97507,0.71677,1.039,0.48944,1.03107,0.0009308,0.0009308,0.0009308
56,917.241,0.94516,0.50102,1.0082,0.97394,0.96,0.98282,0.72549,1.04951,0.4786,1.0291,0.000911,0.000911,0.000911
57,933.338,0.94897,0.49171,1.03214,0.98229,0.96114,0.97931,0.73552,0.99627,0.46846,1.01386,0.0008912,0.0008912,0.0008912
58,949.634,0.9378,0.48737,1.0142,0.97947,0.95435,0.98014,0.73113,0.97976,0.46296,1.00974,0.0008714,0.0008714,0.0008714
59,965.857,0.95813,0.48948,1.01982,0.98353,0.95572,0.97907,0.73411,1.02221,0.47015,1.02246,0.0008516,0.0008516,0.0008516
60,983.196,0.92525,0.48245,1.01148,0.98079,0.95306,0.98117,0.72607,1.01928,0.47755,1.0209,0.0008318,0.0008318,0.0008318
61,999.983,0.94755,0.48839,1.01321,0.97762,0.956,0.97823,0.73468,0.99233,0.47573,1.01449,0.000812,0.000812,0.000812
62,1016.38,0.91652,0.48364,1.00341,0.98225,0.96133,0.97656,0.73036,0.98351,0.46831,1.00915,0.0007922,0.0007922,0.0007922
63,1032.67,0.96937,0.48647,1.02532,0.98638,0.94933,0.98168,0.74126,0.99023,0.46191,1.00622,0.0007724,0.0007724,0.0007724
64,1048.55,0.8952,0.47765,0.99237,0.9781,0.95333,0.97471,0.72423,0.99651,0.46121,1.01013,0.0007526,0.0007526,0.0007526
65,1064.34,0.91629,0.47206,1.01103,0.98308,0.96,0.98406,0.74793,0.97823,0.44818,1.00876,0.0007328,0.0007328,0.0007328
66,1080.07,0.88842,0.46731,0.99866,0.9835,0.95377,0.9806,0.74088,0.99404,0.45579,1.01293,0.000713,0.000713,0.000713
67,1095.98,0.90614,0.46681,1.01214,0.97958,0.95934,0.98173,0.75546,0.96288,0.46124,1.00356,0.0006932,0.0006932,0.0006932
68,1111.75,0.88381,0.46484,0.99707,0.98092,0.95957,0.97869,0.74062,0.98434,0.44719,1.00694,0.0006734,0.0006734,0.0006734
69,1127.52,0.89891,0.46831,0.99842,0.98091,0.95923,0.98052,0.75408,0.97697,0.44236,1.00399,0.0006536,0.0006536,0.0006536
70,1143.29,0.87328,0.45559,0.9903,0.97691,0.95909,0.98193,0.75826,0.95877,0.44577,1.00141,0.0006338,0.0006338,0.0006338
71,1159.33,0.90752,0.45917,1.00552,0.97709,0.94133,0.97289,0.72309,1.01366,0.45631,1.02336,0.000614,0.000614,0.000614
72,1175.19,0.88591,0.45884,0.99217,0.97961,0.96096,0.98126,0.74203,0.97464,0.44346,1.01216,0.0005942,0.0005942,0.0005942
73,1190.9,0.84721,0.44846,0.97821,0.97824,0.95928,0.97808,0.74847,0.95735,0.45084,1.00447,0.0005744,0.0005744,0.0005744
