epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2942,1.39165,2.5361,1.27795,0.63838,0.64134,0.61149,0.33327,1.19367,2.87038,1.18644,0.0708108,0.00324324,0.00324324
2,36.9898,1.26622,1.25174,1.14916,0.96741,0.71536,0.8911,0.56926,1.15144,2.10802,1.0639,0.0407457,0.00651147,0.00651147
3,53.3004,1.31705,1.12286,1.14189,0.89444,0.83333,0.89431,0.53741,1.23969,1.47484,1.11449,0.0106146,0.00971369,0.00971369
4,69.5018,1.26943,1.07206,1.13433,0.9289,0.91292,0.92553,0.58817,1.10793,1.18997,1.12048,0.009703,0.009703,0.009703
5,86.1178,1.29804,1.00054,1.14271,0.95348,0.92125,0.94719,0.60889,1.10633,1.05591,1.08839,0.009604,0.009604,0.009604
6,103.813,1.27172,0.98026,1.14146,0.93983,0.91011,0.91563,0.59515,1.10383,1.05936,1.10583,0.009505,0.009505,0.009505
7,120.73,1.22152,0.90215,1.12099,0.96921,0.91383,0.95239,0.58628,1.18594,0.96736,1.12951,0.009406,0.009406,0.009406
