epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,980.044,0.99716,0.5108,1.03332,0.98028,0.94933,0.97935,0.70734,1.05718,0.4904,1.04848,0.0011684,0.0011684,0.0011684
44,1002.38,0.98623,0.50239,1.02238,0.96604,0.9481,0.97084,0.70082,1.06749,0.50615,1.05196,0.0011486,0.0011486,0.0011486
45,1023.93,0.99436,0.49488,1.04289,0.96947,0.95733,0.97492,0.72237,1.01664,0.47882,1.05016,0.0011288,0.0011288,0.0011288
46,1045.6,0.96615,0.49152,1.03432,0.97019,0.95067,0.9732,0.70951,1.04553,0.48826,1.05554,0.001109,0.001109,0.001109
47,1067.17,0.9579,0.49424,1.0142,0.97528,0.94688,0.97276,0.72384,1.01085,0.48153,1.03832,0.0010892,0.0010892,0.0010892
48,1088.88,0.93568,0.47269,1.02079,0.98093,0.93867,0.97306,0.71003,1.0947,0.48687,1.05969,0.0010694,0.0010694,0.0010694
49,1111.62,0.96656,0.47976,1.02851,0.98494,0.95897,0.983,0.70508,1.09429,0.47521,1.05281,0.0010496,0.0010496,0.0010496
50,1133.22,0.95941,0.47808,1.03157,0.97491,0.956,0.97625,0.70725,1.02061,0.47439,1.03087,0.0010298,0.0010298,0.0010298
51,1154.78,0.94826,0.47467,1.03145,0.97417,0.95561,0.97935,0.73346,1.06058,0.46778,1.05935,0.00101,0.00101,0.00101
52,1176.47,0.94158,0.46575,1.02928,0.97294,0.952,0.97771,0.70846,1.09008,0.47132,1.07369,0.0009902,0.0009902,0.0009902
53,1197.84,0.87959,0.45494,0.99459,0.9807,0.9485,0.97468,0.71494,1.05315,0.48842,1.05923,0.0009704,0.0009704,0.0009704
54,1220,0.90516,0.45457,1.00613,0.97514,0.948,0.975,0.72834,1.03101,0.4623,1.04054,0.0009506,0.0009506,0.0009506
55,1243.65,0.91627,0.46131,1.01528,0.98688,0.95067,0.98054,0.72433,1.05264,0.46647,1.04256,0.0009308,0.0009308,0.0009308
56,1265.49,0.914,0.46711,1.00154,0.975,0.95867,0.97557,0.73252,1.05556,0.47005,1.05324,0.000911,0.000911,0.000911
57,1287.15,0.90875,0.45311,1.02671,0.98465,0.96133,0.98348,0.7443,1.03296,0.45287,1.04287,0.0008912,0.0008912,0.0008912
58,1308.97,0.89537,0.45012,1.00476,0.97943,0.96267,0.9839,0.7439,1.01073,0.45451,1.03294,0.0008714,0.0008714,0.0008714
59,1330.49,0.90211,0.4561,1.00257,0.98768,0.95467,0.98244,0.74219,1.02623,0.45851,1.03509,0.0008516,0.0008516,0.0008516
60,1352.11,0.87309,0.4477,0.99587,0.98607,0.95467,0.97846,0.73725,1.0041,0.45226,1.02882,0.0008318,0.0008318,0.0008318
61,1373.66,0.89436,0.44938,0.99916,0.97137,0.96,0.97904,0.73631,1.0005,0.45846,1.04209,0.000812,0.000812,0.000812
62,1395.33,0.87257,0.44606,0.99325,0.97894,0.96,0.98197,0.74692,1.01642,0.45209,1.02594,0.0007922,0.0007922,0.0007922
63,1417.37,0.91136,0.45115,1.00539,0.9787,0.95467,0.97925,0.74229,1.00724,0.44446,1.02878,0.0007724,0.0007724,0.0007724
64,1439.01,0.85084,0.43607,0.98317,0.98554,0.95867,0.98226,0.74095,0.99804,0.44113,1.02427,0.0007526,0.0007526,0.0007526
65,1460.61,0.86279,0.43015,0.99643,0.99006,0.95467,0.98313,0.75741,1.00947,0.43083,1.02392,0.0007328,0.0007328,0.0007328
66,1482.2,0.8452,0.42503,0.98156,0.97826,0.96019,0.98199,0.74101,1.00819,0.43072,1.03315,0.000713,0.000713,0.000713
67,1504.61,0.85358,0.42881,0.99226,0.98099,0.95867,0.98324,0.76611,0.96255,0.42142,1.00936,0.0006932,0.0006932,0.0006932
68,1526.29,0.84163,0.42611,0.98462,0.97825,0.95931,0.98066,0.7476,0.98776,0.42683,1.02722,0.0006734,0.0006734,0.0006734
