epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0266,1.47351,3.06971,1.38071,0.02183,0.89513,0.12315,0.07071,1.0744,3.40483,1.13232,0.0838,0.0018,0.0018
2,47.4405,1.18169,1.39017,1.12827,0.9626,0.62656,0.86834,0.55725,1.05449,2.86648,1.04862,0.0666853,0.00368535,0.00368535
3,66.5421,1.25433,1.08184,1.12006,1,0.18302,0.91994,0.54044,1.18267,2.63099,1.07723,0.0495556,0.00555565,0.00555565
4,84.4893,1.20195,0.98232,1.10776,0.99426,0.72097,0.93805,0.64205,1.0381,2.07578,1.0225,0.0324109,0.0074109,0.0074109
5,105.476,1.2666,0.96198,1.12919,0.98441,0.65016,0.92335,0.62341,1.06389,1.89282,1.03401,0.0152511,0.0092511,0.0092511
6,128.31,1.26725,0.99798,1.14216,0.93978,0.8768,0.92546,0.51457,1.30179,1.49775,1.17901,0.009802,0.009802,0.009802
7,153.046,1.23968,0.92943,1.11916,0.94533,0.89232,0.93989,0.62653,1.12854,1.15464,1.11383,0.0097624,0.0097624,0.0097624
8,170.051,1.22241,0.85911,1.13053,0.96165,0.9157,0.95497,0.61609,1.14095,1.11394,1.16319,0.0097228,0.0097228,0.0097228
9,190.014,1.1857,0.87662,1.11892,0.94815,0.92465,0.94761,0.60819,1.19329,1.5374,1.17311,0.0096832,0.0096832,0.0096832
10,207.013,1.22134,0.83973,1.13932,0.92208,0.8864,0.91979,0.56245,1.23013,1.44421,1.17436,0.0096436,0.0096436,0.0096436
11,225.267,1.22152,0.83833,1.11625,0.95307,0.92697,0.95096,0.59986,1.10886,1.25932,1.12608,0.009604,0.009604,0.009604
12,246.795,1.2101,0.81547,1.12178,0.93568,0.9279,0.94131,0.60231,1.10913,1.02038,1.14529,0.0095644,0.0095644,0.0095644
13,270.247,1.18956,0.77125,1.12124,0.93894,0.92144,0.9323,0.57936,1.09567,1.1214,1.11652,0.0095248,0.0095248,0.0095248
14,294.684,1.14802,0.74086,1.08812,0.95219,0.93237,0.93994,0.60743,1.06035,0.95089,1.12069,0.0094852,0.0094852,0.0094852
15,313.979,1.12925,0.71319,1.09485,0.94809,0.92353,0.93552,0.59644,1.07778,0.89807,1.10521,0.0094456,0.0094456,0.0094456
16,333.643,1.1498,0.7335,1.0965,0.95883,0.93764,0.96658,0.65292,1.09289,0.81822,1.08789,0.009406,0.009406,0.009406
17,353.905,1.14272,0.69212,1.08896,0.94269,0.92408,0.9448,0.61123,1.10523,1.07274,1.09109,0.0093664,0.0093664,0.0093664
18,374.313,1.14276,0.71911,1.07349,0.97188,0.93862,0.95492,0.64183,0.9966,0.6943,1.04386,0.0093268,0.0093268,0.0093268
19,392.942,1.11542,0.67932,1.07965,0.97152,0.93727,0.95994,0.66436,0.99485,0.71882,1.03665,0.0092872,0.0092872,0.0092872
20,410.291,1.07288,0.65746,1.06195,0.97768,0.9434,0.9588,0.64824,0.9679,0.71299,1.03761,0.0092476,0.0092476,0.0092476
21,433.085,1.16096,0.6753,1.1012,0.98053,0.94299,0.95995,0.65176,0.96134,0.67812,1.04039,0.009208,0.009208,0.009208
22,453.547,1.09364,0.65234,1.06617,0.97769,0.94373,0.96987,0.65816,1.06613,0.72455,1.06696,0.0091684,0.0091684,0.0091684
23,470.542,1.13363,0.65021,1.07344,0.95636,0.94389,0.96666,0.65345,1.14032,0.8219,1.09698,0.0091288,0.0091288,0.0091288
24,490.243,1.11718,0.64253,1.08084,0.96683,0.94007,0.96616,0.64649,1.11246,0.7113,1.08684,0.0090892,0.0090892,0.0090892
25,512.563,1.06147,0.61836,1.0479,0.97683,0.94724,0.9712,0.66863,1.05531,0.62966,1.07615,0.0090496,0.0090496,0.0090496
26,535.366,1.03712,0.60009,1.04839,0.9762,0.93633,0.96566,0.65185,1.1062,0.64076,1.0869,0.00901,0.00901,0.00901
27,552.492,1.09135,0.62874,1.07429,0.9806,0.94631,0.97517,0.67375,1.05798,0.62187,1.08269,0.0089704,0.0089704,0.0089704
28,569.378,1.06838,0.61201,1.05913,0.96839,0.95412,0.97433,0.66054,1.11693,0.6455,1.11057,0.0089308,0.0089308,0.0089308
29,587.301,1.08798,0.62311,1.06015,0.97894,0.95737,0.97808,0.67495,0.97799,0.59974,1.03966,0.0088912,0.0088912,0.0088912
30,605.288,1.05019,0.59904,1.05466,0.97937,0.94288,0.96784,0.66794,0.99793,0.627,1.05414,0.0088516,0.0088516,0.0088516
31,623.61,1.04503,0.59195,1.04729,0.96986,0.94757,0.97244,0.67668,0.99122,0.60781,1.05511,0.008812,0.008812,0.008812
32,653.404,1.05735,0.602,1.06772,0.93725,0.92298,0.94926,0.62478,1.07546,1.02003,1.09954,0.0087724,0.0087724,0.0087724
